External ID,Name,Product Type,Internal Reference,Barcode,Sales Price,Cost,Weight,Sales Description
product_template_1,Apple In-Ear Headphones,Goods,E-COM08,,79,7044,,"Frequency: 5Hz to 21kHz
Impedance: 23 ohms
Sensitivity: 109 dB SPL/mW
Drivers: two-way balanced armature
Cable length: 1065 mm
Weight: 10.2 grams"
product_template_2,Apple Wireless Keyboard,Goods,E-COM10,,47,10,,The sleek aluminium Apple Wireless Keyboard.
product_template_3,Bose Mini Bluetooth Speaker,Goods,E-COM05,,247,140,,Bose's smallest portable Bluetooth speaker
product_template_4,iMac,Goods,E-COM09,,1799,1299,9.54,"2.7GHz quad-core Intel Core i5
 Turbo Boost up to 3.2GHz
 8GB (two 4GB) memory
 1TB hard drive
 Intel Iris Pro graphics"
product_template_5,iPod,Goods,E-COM12,,89,79,,"Height: 76.5 mm
Width: 39.6 mm
Depth: 5.4 mm
Weight: 31 grams"
product_template_6,iPad Mini,Goods,E-COM07,54398267125,320,260,0.33,"Color: White
Capacity: 16GB
Connectivity: Wifi
Beautiful 7.9-inch display
Over 375,000 apps
Ultrafast wireless
iOS7"
product_template_7,iPad Retina Display,Goods,E-COM01,,750,450,,"7.9‑inch (diagonal) LED-backlit, 128Gb
Dual-core A5 with quad-core graphics
FaceTime HD Camera, 1.2 MP Photos"
product_template_8,Computer SC234,Goods,PCSC234,,450,300,,
product_template_9,Laptop Customized,Goods,LAP-CUS,,3645,3300,,
product_template_10,Self Build Kit,Goods,E-COM92,,147,98,,
product_template_11,"Mouse, Wireless",Goods,M-Wir,,12.5,18,,
product_template_12,RAM SR5,Goods,RAM-SR5,,85,78,,
product_template_13,Computer Case,Goods,C-Case,,25,20,,
product_template_14,HDD SH-1,Goods,HDD-SH1,,975,860,,
product_template_15,Motherboard I9P57,Goods,MBi9,,1950,1700,,
product_template_16,Processor Core i5 2.70 Ghz,Goods,CPUi5,,2100,2010,,
product_template_17,Graphics Card,Goods,CARD,,885,876,,
product_template_18,Laptop Charger,Goods,E-COM93,,2250,2000,,
product_template_19,Laptop Keypad,Goods,E-COM94,,850,800,,
product_template_20,"Mouse, Wireless",Goods,M-Wir,,12.5,18,,
product_template_21,Alice's Adventures in Wonderland - Lewis Caroll,Service,,,4.5,2,,"Alice's Adventures in Wonderland (commonly shortened to Alice in Wonderland) is an 1865 novel written by English author Charles Lutwidge Dodgson under the pseudonym Lewis Carroll. It tells of a girl named Alice falling through a rabbit hole into a fantasy world populated by peculiar, anthropomorphic creatures. The tale plays with logic, giving the story lasting popularity with adults as well as with children. It is considered to be one of the best examples of the literary nonsense genre. Its narrative course and structure, characters and imagery have been enormously influential in both popular culture and literature, especially in the fantasy genre."
product_template_22,Warranty,Service,,,20,,,"Warranty, issued to the purchaser of an article by its manufacturer, promising to repair or replace it if necessary within a specified period of time."
product_template_23,Basic Membership,Service,,,40,,,
product_template_24,Silver Membership,Service,,,80,,,
product_template_25,Gold Membership,Service,,,180,,,
