# Bilingual Products CSV Template (Arabic)
# استخدم هذا الملف لإضافة الترجمات العربية

External ID,Name,Sales Description
product_template_1,سماعات أذن أبل,"التردد: 5 هرتز إلى 21 كيلوهرتز
المقاومة: 23 أوم
الحساسية: 109 ديسيبل
السائقون: متوازن ثنائي الاتجاه
طول الكابل: 1065 مم
الوزن: 10.2 جرام"
product_template_2,لوحة مفاتيح أبل اللاسلكية,لوحة مفاتيح أبل اللاسلكية الأنيقة المصنوعة من الألومنيوم
product_template_3,مكبر صوت بلوتوث صغير من بوز,أصغر مكبر صوت بلوتوث محمول من بوز
product_template_4,آي ماك,"معالج Intel Core i5 رباعي النواة بسرعة 2.7 جيجاهرتز
تعزيز توربو حتى 3.2 جيجاهرتز
ذاكرة 8 جيجابايت (اثنان 4 جيجابايت)
قرص صلب 1 تيرابايت
رسومات Intel Iris Pro"
product_template_5,آيبود,"الارتفاع: 76.5 مم
العرض: 39.6 مم
العمق: 5.4 مم
الوزن: 31 جرام"
product_template_6,آيباد ميني,"اللون: أبيض
السعة: 16 جيجابايت
الاتصال: واي فاي
شاشة رائعة مقاس 7.9 بوصة
أكثر من 375,000 تطبيق
شبكة لاسلكية فائقة السرعة
iOS7"
product_template_7,آيباد ريتينا ديسبلاي,"شاشة LED مقاس 7.9 بوصة (قطري)، 128 جيجابايت
معالج A5 ثنائي النواة مع رسومات رباعية النواة
كاميرا FaceTime HD، 1.2 ميجابكسل"
product_template_8,كمبيوتر SC234,
product_template_9,لابتوب مخصص,
product_template_10,طقم تجميع ذاتي,
product_template_11,ماوس لاسلكي,
product_template_12,ذاكرة RAM SR5,
product_template_13,صندوق الكمبيوتر,
product_template_14,قرص صلب SH-1,
product_template_15,لوحة أم I9P57,
product_template_16,معالج Core i5 2.70 جيجاهرتز,
product_template_17,بطاقة الرسومات,
product_template_18,شاحن لابتوب,
product_template_19,لوحة مفاتيح لابتوب,
product_template_20,ماوس لاسلكي,
product_template_21,مغامرات أليس في بلاد العجائب - لويس كارول,"مغامرات أليس في بلاد العجائب رواية كتبها المؤلف الإنجليزي تشارلز لوتويدج دودجسون عام 1865 تحت اسم مستعار لويس كارول. تحكي قصة فتاة تدعى أليس تسقط عبر جحر أرنب في عالم خيالي مأهول بمخلوقات غريبة وبشرية. تلعب الحكاية بالمنطق، مما يمنح القصة شعبية دائمة لدى الكبار وكذلك الأطفال."
product_template_22,ضمان,"الضمان الصادر لمشتري مقالة من قبل الشركة المصنعة، ووعد بإصلاحه أو استبداله إذا لزم الأمر خلال فترة زمنية محددة."
product_template_23,عضوية أساسية,
product_template_24,عضوية فضية,
product_template_25,عضوية ذهبية,
